----START---
 15900,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15900,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15900,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16200,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16200,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16200,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16200,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16200,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16500,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16500,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16500,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16500,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16500,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16800,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16800,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16800,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16800,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 16800,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17100,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17100,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17100,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17100,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17100,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17400,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17400,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17400,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17400,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17400,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17700,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17700,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17700,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17700,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 17700,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18000,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18000,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18000,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18000,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18000,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18300,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18300,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18300,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18300,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18300,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18600,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18600,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18600,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18600,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18600,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18900,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18900,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18900,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18900,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 18900,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
